id,name,created_at,updated_at,country_id,sector_id,related_companies,industry_id,bhrrc_url,latest_statement_for_compliance_stats_id,company_number
NEW5954,Caritas Recruitment Ltd,,,1533,,,,,,6728939
NEW5955,Carlisle Fluid Technologies UK Limited,,,1533,,,,,,7656273
NEW5957,Carpet & Flooring (Trading) Limited,,,1533,,,,,,10449218
NEW5958,Carpetright PLC,,,1533,,,,,,2294875
NEW5960,Carr's Flour Mills Limited,,,1533,,,,,,480341
NEW5961,Carr's Group PLC,,,1533,,,,,,98221
NEW5968,Castelli UK Limited,,,1533,,,,,,3441802
NEW5970,Catch 22 Charity Limited,,,1533,,,,,,6577534
NEW5971,Cater Link Limited,,,1533,,,,,,3732298
NEW5976,CBRE Limited,,,1533,,,,,,3536032
NEW5978,CCR Motor CO. Ltd.,,,1533,,,,,,2624763
NEW5982,CDF Group Ltd,,,1533,,,,,,9556229
NEW5983,CDW Limited,,,1533,,,,,,2465350
NEW5993,Centerview Partners UK LLP,,,1533,,,,,,OC345806
NEW5997,Centurycomm Limited,,,1533,,,,,,3387163
NEW6000,CF Fertilisers UK Limited,,,1533,,,,,,3455690
NEW6006,Champion Groundworks Limited,,,1533,,,,,,8209199
NEW6008,Chancerygate Limited,,,1533,,,,,,3699100
NEW6013,Charities Trust,,,1533,,,,,,2142757
NEW6018,Charles Stanley & CO. Limited,,,1533,,,,,,1903304
NEW6025,Chasetown Civil Engineering Limited,,,1533,,,,,,1178150
NEW6026,Cheale Meats Limited,,,1533,,,,,,1511942
NEW6029,Chemchina UK Limited,,,1533,,,,,,9385489
NEW6034,China Telecom (Europe) Limited,,,1533,,,,,,5728497
NEW6035,Chisholm Bookmakers Limited,,,1533,,,,,,1985613
NEW6037,Choice Support,,,1533,,,,,,2189556
NEW6040,Churchill Retirement Living Limited,,,1533,,,,,,6260373
NEW6041,Cilantro Engineering UK Ltd,,,1533,,,,,,7233102
NEW6042,Circassia Pharmaceuticals PLC,,,1533,,,,,,5822706
NEW6043,Cisilion (Group) Limited,,,1533,,,,,,8550128
NEW6044,Cisilion Limited,,,1533,,,,,,3902228
NEW6045,Citipost Mail Limited,,,1533,,,,,,3756000
NEW6047,City Facilities Management Holdings Limited,,,1533,,,,,,SC199503
NEW6048,City Health Care Partnership CIC,,,1533,,,,,,6273905
NEW6049,City of Glasgow College,,,1533,,,70,,,CHASC036198
NEW6050,City West Country Limited,,,1533,,,,,,4306194
NEW6060,Clarity Pharma Ltd,,,1533,,,,,,3657934
NEW6065,Clays Ltd.,,,1533,,,,,,342498
NEW6072,Clegg Group Limited,,,1533,,,,,,3684875
NEW6074,Cleveland Bridge UK Limited,,,1533,,,,,,3749601
NEW6075,Cleveland Cable Company Limited,,,1533,,,,,,5538824
NEW6082,Clive Brook Limited,,,1533,,,,,,6404305
NEW6085,CMS (Kidderminster) Limited,,,1533,,,,,,2114466
NEW6086,CMS Distribution Limited,,,1533,,,,,,2214562
NEW6087,CMS Enviro Systems Ltd.,,,1533,,,,,,SC295823
NEW6088,CNG (Group) Limited,,,1533,,,,,,7341939
NEW6095,Cocksedge Building Contractors Limited,,,1533,,,,,,4007482
NEW6101,Colart International Holdings Limited,,,1533,,,,,,3659130
NEW6104,Colchester Global Investors Limited,,,1533,,,,,,3855960
NEW6105,Colin Appleyard Limited,,,1533,,,,,,1251772
NEW6108,Collins Earthworks Limited,,,1533,,,,,,4083989
NEW6112,Colten Care Limited,,,1533,,,,,,2218757
NEW6121,Compatel Limited,,,1533,,,,,,7456831
NEW6126,Concha Y Toro UK Limited,,,1533,,,,,,4131411
NEW6129,Connect Plus (M25) Limited,,,1533,,,,,,6683845
NEW6134,Contourglobal PLC,,,1533,,,,,,10982736
NEW6137,Cook (UK) Limited,,,1533,,,,,,1666971
NEW6139,Cookson Precious Metals Limited,,,1533,,,,,,2775187
NEW6140,Cooley (UK) LLP,,,1533,,,,,,OC395270
NEW6145,Cornerstone Community Care,,,1533,,,,,,SC070762
NEW6145,Cornerstone Community Care,,,1533,,,70,,,CHASC004780
NEW6147,Cornerstone Ondemand Limited,,,1533,,,,,,7143111
NEW6149,Corpacq Limited,,,1533,,,,,,5896676
NEW6150,Cosentino UK Limited,,,1533,,,,,,4331797
NEW6152,Cosmos Tours Limited,,,1533,,,,,,1175122
NEW6154,Cosworth Group Holdings Limited,,,1533,,,,,,6442393
NEW6155,Cotswold Motor Group Limited,,,1533,,,,,,3028787
NEW6162,Court of the University of the West of Scotland,,,1533,,,70,,,CHASC002520
NEW6165,CPM United Kingdom Limited,,,1533,,,,,,1757157
NEW6168,Crane Payment Innovations Limited,,,1533,,,,,,1687894
NEW6174,Crediton Dairy Limited,,,1533,,,,,,8490730
NEW6176,Crest Leathers Limited,,,1533,,,,,,3610819
NEW6177,Cresta World Travel Limited,,,1533,,,,,,2662445
NEW6180,Cromwell European Holdings Limited,,,1533,,,,,,9381845
NEW6189,Cubico Sustainable Investments Limited,,,1533,,,,,,9263711
NEW6190,Cult Beauty Limited,,,1533,,,,,,6195011
NEW6191,Currie European Transport Limited,,,1533,,,,,,SC062686
NEW6192,Curtis Banks Group PLC,,,1533,,,,,,7934492
NEW6193,Curtis Wool Direct Holdings Limited,,,1533,,,,,,4451125
NEW6197,Cyngor Celfyddydau Cymru,,,1533,,,70,,,CHA1034245
NEW6199,D & W Carlisle Ltd,,,1533,,,,,,NI036456
NEW6202,D.B. Ramsden & Company Limited,,,1533,,,,,,694043
NEW6203,D.B. Ramsden Holdings Limited,,,1533,,,,,,7902162
NEW6205,D.H. Mansfield Limited,,,1533,,,,,,3557665
NEW6206,D.M.Keith Limited,,,1533,,,,,,749256
NEW6207,Dace Motor Company Limited,,,1533,,,,,,4765928
NEW6209,Dacsa Limited,,,1533,,,,,,5534540
NEW6215,Daler-Rowney Limited,,,1533,,,,,,194555
NEW6218,Danesmoor Holdings Limited,,,1533,,,,,,8143416
NEW6219,Danfoss Limited,,,1533,,,,,,2605811
NEW6226,Data Select Limited,,,1533,,,,,,3662640
NEW6228,David Macbrayne Limited,,,1533,,,,,,SC015304
NEW6229,David Morris International Limited,,,1533,,,,,,2630165
NEW6230,"Davidson Kempner European Partners, LLP",,,1533,,,,,,OC308054
NEW6232,Davis And Dann Limited,,,1533,,,,,,842906
NEW6237,DAY Webster Limited,,,1533,,,,,,7061135
NEW6240,DCK Group Limited,,,1533,,,,,,5393282
NEW6241,DCM (Cornwall) Limited,,,1533,,,,,,8784330
NEW6244,De Montfort Fine Art Limited,,,1533,,,,,,2402634
NEW6246,Debenhams PLC,,,1533,,,,,,5448421
NEW6257,Delgarth Limited,,,1533,,,,,,1508933
NEW6260,Deluxe 142 Limited,,,1533,,,,,,981201
NEW6261,Denim Merchants (UK) Limited,,,1533,,,,,,7717862
NEW6262,Denirello LLP,,,1533,,,,,,OC339981
NEW6264,Denmaur Independent Papers Limited,,,1533,,,,,,1707312
NEW6271,Designer M & E Services UK Limited,,,1533,,,,,,5752285
NEW6275,Dewhurst PLC,,,1533,,,,,,160314
NEW6276,Dewing Grain Limited,,,1533,,,,,,7660591
NEW6277,Dhamecha Foods Limited,,,1533,,,,,,1163739
NEW6278,DHU Health Care C.I.C.,,,1533,,,,,,5834163
NEW6285,Dimension Data Holdings PLC,,,1533,,,,,,3704278
NEW6287,Diocese of Westminster,,,1533,,,70,,,CHA233699
NEW6291,Direct Table Foods Limited,,,1533,,,,,,1816960
NEW6293,Displaylink (UK) Limited,,,1533,,,,,,4811048
NEW6294,Distell International Limited,,,1533,,,,,,SC109881
NEW6296,Dixons Academies Charitable Trust Ltd,,,1533,,,,,,2303464
NEW6297,DK Group Investments Ltd.,,,1533,,,,,,1698977
NEW6298,DL Hudson Limited,,,1533,,,,,,10155996
NEW6299,Dobbies Garden Centres Group Limited,,,1533,,,,,,10231465
NEW6302,Dogs Trust,,,1533,,,70,,,CHA227523
NEW6302,Dogs Trust,,,1533,,,70,,,CHASC037843
NEW6307,Dornan Engineering Services Limited,,,1533,,,,,,5799522
NEW6309,Double Negative Limited,,,1533,,,,,,3325701
NEW6311,Dovecote Park Limited,,,1533,,,,,,3167280
NEW6315,Drayton Building Services Limited,,,1533,,,,,,3292411
NEW6316,Dreams Limited,,,1533,,,,,,8428347
NEW6320,DTR VMS Limited,,,1533,,,,,,6703842
NEW6321,Dual Energy Direct Limited,,,1533,,,,,,6468946
NEW6322,Dudgeon Offshore Wind Limited,,,1533,,,,,,4418909
NEW6324,Dulwich College,,,1533,,,,,,8208764
NEW6325,Dumfries And Galloway Housing Partnership Limited,,,1533,,,,,,SC220297
NEW6331,Dupont Teijin Films U.K. Limited,,,1533,,,,,,3776904
NEW6339,Dynamic Mobile Billing Limited,,,1533,,,,,,3383285
NEW6340,E (Gas And Electricity) Limited,,,1533,,,,,,8520118
NEW6345,E.Park & Sons Limited,,,1533,,,,,,1043787
NEW6346,E-Act,,,1533,,,,,,6526376
NEW6352,Easy Cleaning Solutions Limited,,,1533,,,,,,487516
NEW6354,Eaton Towers Limited,,,1533,,,,,,7724924
NEW6355,Ebay (UK) Limited,,,1533,,,,,,3726028
NEW6361,ECG Facilities Services Limited,,,1533,,,,,,SC298533
NEW6367,Eden Brown Limited,,,1533,,,,,,3643845
NEW6369,Edgewater Contracts & Specialist Joinery Ltd,,,1533,,,,,,NI615490
NEW6373,Edinburgh Merchant Company Education Board,,,1533,,,70,,,CHASC009747
NEW6375,Edrington-Beam Suntory UK Distribution Limited,,,1533,,,,,,SC203623
NEW6378,Edwin James Holdings Limited,,,1533,,,,,,SC507737
NEW6379,EEF Limited,,,1533,,,,,,5950172
NEW6380,EET Europarts Limited,,,1533,,,,,,6353017
NEW6381,EFG Private Bank Limited,,,1533,,,,,,2321802
NEW6384,Eland Cables Limited,,,1533,,,,,,1229226
NEW6385,Elbrook (Cash & Carry) Limited,,,1533,,,,,,1839722
NEW6389,Electronic Arts Limited,,,1533,,,,,,2057591
NEW6391,Elemis Limited,,,1533,,,,,,2279688
NEW6392,Elevate Credit International Limited,,,1533,,,,,,5041905
NEW6394,Elexon Limited,,,1533,,,,,,3782949
NEW6397,Elisabeth The Chef Limited,,,1533,,,,,,1561100
NEW6398,Elite Mobile Limited,,,1533,,,,,,2987598
NEW6399,Ella's Kitchen (Brands) Limited,,,1533,,,,,,5183743
NEW6400,Elliott Advisors (UK) Limited,,,1533,,,,,,2989338
NEW6401,Elliott Brothers Limited,,,1533,,,,,,2511005
NEW6404,Emerchantpay Limited,,,1533,,,,,,5153270
NEW6405,Emmanuel Schools Foundation,,,1533,,,,,,4464331
NEW6406,Emms Nazareth,,,1533,,,,,,SC225661
NEW6407,Empiric Solutions Limited,,,1533,,,,,,5533824
NEW6411,Encial Group Limited,,,1533,,,,,,8430246
NEW6414,Endava PLC,,,1533,,,,,,5722669
NEW6415,Endemol Shine International Limited,,,1533,,,,,,1577754
NEW6425,Ensus UK Limited,,,1533,,,,,,5816694
NEW6426,Entek International Limited,,,1533,,,,,,2272415
NEW6427,Entertainment Magpie Group Limited,,,1533,,,,,,9775280
NEW6430,Envirowales Limited,,,1533,,,,,,4296277
NEW6433,EPS Chartering (UK) Limited,,,1533,,,,,,9948670
NEW6436,Equifax Limited,,,1533,,,,,,2425920
NEW6438,Equiniti Group PLC,,,1533,,,,,,7090427
NEW6441,Equip4work Ltd,,,1533,,,,,,5209361
NEW6443,Ergomed PLC,,,1533,,,,,,4081094
NEW6446,Esdevium Games Limited,,,1533,,,,,,3055732
NEW6457,Eton Bridge Partners Limited,,,1533,,,,,,7140606
NEW6458,Eton College,,,1533,,,70,,,CHA1139086
NEW6459,Eurilait Limited,,,1533,,,,,,2667268
NEW6460,Euro Alloys Limited,,,1533,,,,,,2474338
NEW6465,Euronet 360 Finance Limited,,,1533,,,,,,6928422
NEW6468,European Aviation Limited,,,1533,,,,,,2496662
NEW6470,European Policy Exchange Limited,,,1533,,,,,,4905152
NEW6471,Eurosimm Limited,,,1533,,,,,,3179588
NEW6472,Eurosonic Group Limited,,,1533,,,,,,1394171
NEW6473,Eurostar Global Electronics Limited,,,1533,,,,,,6046810
NEW6475,Evercore Partners International LLP,,,1533,,,,,,OC357957
NEW6481,Evolution Power Tools Ltd,,,1533,,,,,,3442268
NEW6483,Exchequer Solutions Limited,,,1533,,,,,,4749739
