MSR Company ID,Companies House Number
27570,10233941
27596,FC033297
27571,7781896
24938,5660209
27572,8233451
27604,FC032873
27597,FC033194
27573,9162755
27598,FC032885
27592,FC032830
27574,7672804
27593,FC032826
27566,10233912
27575,7086877
27576,7639401
27577,8107505
27599,FC033628
24937,5287330
27578,5064884
27601,FC033196
27579,10963759
27580,10588526
27581,10773467
27582,10919188
27583,8107466
23744,FC030876
23749,3114476
10770,6298947
25195,220175
10776,550457
10788,11220957
23756,526209
23760,2288928
23764,2821239
23761,4503052
23762,4897067
23765,6706019
23763,5373988
23768,6133312
25141,44687
25143,1556886
25142,4316333
25144,2158996
23778,218826
23777,935048
23780,5480340
23781,3200696
23782,3337831
10823,4474904
23788,3728660
23793,10940016
23792,2191319
23790,3004480
23791,5683548
23800,2559097
23802,SC324445
23799,SC033862
23809,SC184082
23811,SC150493
23803,SC162868
23798,SC355383
23805,SC046564
23807,SC153019
23806,SC285894
23808,SC305524
23810,SC274559
23812,SC273189
23813,5363841
23814,2742648
10867,12239270
23815,1509033
25101,6527539
26256,282243
23823,2096375
23820,4056042
23819,528867
23821,2072001
10890,1295174
10901,3798374
23824,278994
23827,4257385
23825,10723690
23826,1992573
10911,IP030444
23832,IP29264R
23834,IP20876R
23833,IP27556R
10913,FC025871
23840,1846866
23849,7880736
10930,12132713
23851,RS008209
29113,4683865
29346,5129454
29114,SC245145
23853,2802862
23852,5395024
25934,9877160
25933,1071033
23855,9037039
25935,3419143
25228,3722571
25224,4833947
25227,2068221
25223,2861185
23861,SC211594
24295,543016
10948,574816
25503,694011
25502,2864233
25501,4770072
25506,310358
26188,1419
26343,5460862
10956,523335
23865,2928205
23869,4163451
23870,4614761
27759,9546041
27756,8926755
23879,2172239
16685,5226380
23887,7832417
23886,2459095
23892,709093
23891,1298663
25306,4156002
16729,1825301
16733,8616013
26190,9091930
26191,8117656
25357,4022422
23904,2974193
23905,6634078
23902,SC037270
23903,6634081
23908,6735743
23907,6578472
27003,8659784
26989,SC292720
27026,SC204755
27001,2667945
26994,SC173714
26988,SC209759
26986,SC229295
26987,SC129734
26995,SC440332
26998,1270073
16801,1006420
23915,5770083
23914,5719973
16830,2387700
23918,4874211
23928,9225514
23927,1050265
16858,3320972
23930,6395296
23937,3770950
23933,CE012694
16871,2520413
28084,10636498
26312,4041477
24947,189434
28066,832447
28067,2395270
23938,2480021
23940,8856837
23944,4360367
23946,2710095
23948,1024575
23947,40754
23951,3551636
23952,8613300
23953,7140962
23954,10353705
16941,129755
16950,6893564
16951,1542173
28155,2245562
28154,824611
28156,3217775
23959,OC309844
16972,505212
16973,2565033
16975,7472736
16978,7617529
28200,3218090
28201,3353201
23962,2263951
17012,8971493
28261,7972511
23968,3568682
23969,10290854
23970,10291844
23975,2709932
23974,2586852
23977,687406
23976,2503062
23973,506057
17050,620104
23985,4796268
23986,4796282
23987,2483161
23981,1061863
23982,2307374
23990,3678507
23984,3093642
23991,2901437
23989,NI029801
25058,3389978
23983,1010787
17087,2942924
27765,3438113
27764,3392357
25013,9176052
17109,7151159
23995,1599830
17132,5534340
24001,3086829
23998,3507189
24000,1446451
23997,10666039
23999,2431300
17145,2178424
17154,2037088
