Modern Slavery Registry ID,Companies House Number
21370,03705002
25569,01472269
18199,04578086
18831,02489626
22929,SC223604
7177,SC003487
27718,05210733
22266,06327804
18617,04948078
17169,OC360501
10296,07656429
25629,04379585
17616,08458339
24148,04242557
26281,01738519
22724,07333982
18604,05559627
17170,IP10143R
17471,00507844
21990,02867452
21424,07760510
18998,05002194
7179,10612546
8803,03033654
10883,05676721
17171,03373762
7180,04826684
9562,04168225
21298,04433973
16806,05900853
16804,01716891
18228,06923682
6955,09504990
7182,09505062
22547,02714841
21471,03420356
7185,01435810
28255,01297142
7186,01683985
18824,02820046
27626,07346184
22088,00203669
17413,03147640
9008,02143098
9826,01533774
24238,01590744
10036,06860099
16675,03033333
21952,00686409
17991,00402006
7188,OC311850
7190,00048796
8850,09147885
8531,03194476
24522,02914928
7192,00106884
7193,01393410
17389,06712054
10187,06749498
19017,OC306266
10745,03323436
22630,01638755
18200,04040321
21330,03168607
7194,00184915
9646,00874746
7195,02704138
17711,RS008112
9609,IP00973R
7196,02536231
18016,00350164
16861,00086662
18747,02208285
10188,01962903
7198,04947166
8962,03291389
8890,05300877
22867,03316774
17173,OC321484
18578,01276016
10839,02140985
27051,02418535
22726,04997666
9134,09702342
18220,06455352
24245,FC032309
18096,01766035
17414,03844271
22435,09176675
18201,SC268758
21053,06897074
9813,04824698
10663,02809988
16788,01053499
10226,01471939
25060,01128160
21081,02666470
27445,10871880
9657,00524469
9892,03486599
23452,02814621
17415,00270153
9594,07317156
7202,01908306
25006,02858938
21389,05857605
10532,01915767
18230,OC366256
28029,10543098
10638,08781910
21193,08719810
7204,01555444
22389,OC340922
21056,03097504
21362,01174902
16708,02937203
23943,00191579
22844,RC000117
7206,06991398
21822,00336408
10938,SC221290
10307,08355862
22745,05615547
26528,03734785
17712,02489546
7209,04327611
17182,04383394
8532,04968437
26905,SC017664
18263,00467407
22121,03152737
21411,03280942
17174,01580079
9034,00454826
21078,03940169
10834,SC088490
7211,01341453
21344,00972660
17175,07524755
7212,OC344818
10728,01190238
10799,OC411839
18894,01512421
18724,05404559
21327,01891953
22456,01651777
18153,00087908
17316,00530446
24008,00309019
17176,00950526
18082,07921508
26540,03142495
7213,02494701
21139,01689093
26971,00915392
22647,03561973
9317,03770815
9457,OC323571
9073,06771928
18264,02640337
18284,01211133
21251,06631601
9410,03042024
7215,00520241
22931,06582618
18712,05816917
10612,00819793
7217,02714781
24517,04132704
18726,03391758
17416,03123199
10457,00681537
18615,00333188
7218,OC344742
7219,OC326539
23199,SC001111
17153,02901725
7220,05145017
16946,02442501
24972,06143400
9406,OC310335
23374,07451655
18481,07291374
10927,00000950
17417,FC031116
7902,08391492
22411,00813187
22627,07698837
9763,RS007093
25186,09787753
7222,00103548
9622,05040384
28158,03039046
7223,03876527
8788,00030470
10400,09717350
21914,03874867
17805,01439075
27269,06123106
17177,07195160
27316,SC135440
7225,05684823
7226,02644726
7227,02995525
9670,03020017
16647,OC385143
10528,00560487
10267,11141096
18743,08785941
18548,IP20799R
27070,08106006
27330,02780189
18646,02575781
21365,05858177
7230,FC016009
22416,01328083
17821,04220587
17167,02225727
18644,05855573
22568,04064244
9784,00969262
22764,02973781
17901,08017562
7231,04083914
16976,02788418
7233,SC189364
17888,03045607
10003,00237628
18717,03578103
9164,03110569
23858,01214640
18102,04016625
9899,02898417
26829,00671254
27643,09065980
10643,02063425
19023,09788959
27160,03252690
10366,00708997
26637,03004798
7236,05195191
26376,04143738
7237,03187394
8960,00524868
24605,00792712
9311,02836732
22349,09495671
26951,05590097
21845,10607497
7239,00406711
